
Debian GNU/Linux 11 syzkaller ttyS0

Warning: Permanently added '[localhost]:35117' (ED25519) to the list of known hosts.
executing program
syzkaller login: [   48.047116][ T6146] loop0: detected capacity change from 0 to 32768
[   49.066820][ T6280] loop0: detected capacity change from 0 to 32768
[   49.067694][ T6280] btrfs: Deprecated parameter 'usebackuproot'
[   49.068036][ T6280] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   49.070495][ T6280] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6280)
[   49.077582][ T6280] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   49.078221][ T6280] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   49.078827][ T6280] BTRFS info (device loop0): disk space caching is enabled
[   49.085031][ T6280] BTRFS info (device loop0): rebuilding free space tree
[   49.088564][ T6280] BTRFS info (device loop0): disabling free space tree
[   49.088986][ T6280] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   49.089576][ T6280] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   49.106173][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   49.220119][ T6302] loop0: detected capacity change from 0 to 32768
[   49.220986][ T6302] btrfs: Deprecated parameter 'usebackuproot'
[   49.221323][ T6302] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   49.223697][ T6302] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6302)
[   49.225397][ T6302] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   49.225996][ T6302] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   49.226549][ T6302] BTRFS info (device loop0): disk space caching is enabled
[   49.233051][ T6302] BTRFS info (device loop0): rebuilding free space tree
[   49.235270][ T6302] BTRFS info (device loop0): disabling free space tree
[   49.235691][ T6302] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   49.236247][ T6302] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   49.249087][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   49.360287][ T6324] loop0: detected capacity change from 0 to 32768
[   49.361269][ T6324] btrfs: Deprecated parameter 'usebackuproot'
[   49.361619][ T6324] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   49.369519][ T6324] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6324)
[   49.373126][ T6324] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   49.373694][ T6324] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   49.374224][ T6324] BTRFS info (device loop0): disk space caching is enabled
[   49.383438][ T6324] BTRFS info (device loop0): rebuilding free space tree
[   49.386594][ T6324] BTRFS info (device loop0): disabling free space tree
[   49.386980][ T6324] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   49.387503][ T6324] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   49.420669][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   49.522829][ T6346] loop0: detected capacity change from 0 to 32768
[   49.524327][ T6346] btrfs: Deprecated parameter 'usebackuproot'
[   49.524730][ T6346] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   49.525473][ T6346] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6346)
[   49.527086][ T6346] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   49.527715][ T6346] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   49.528308][ T6346] BTRFS info (device loop0): disk space caching is enabled
[   49.546694][ T6346] BTRFS info (device loop0): rebuilding free space tree
[   49.550092][ T6346] BTRFS info (device loop0): disabling free space tree
[   49.550512][ T6346] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   49.551036][ T6346] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   49.575956][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   49.687279][ T6368] loop0: detected capacity change from 0 to 32768
[   49.689378][ T6368] btrfs: Deprecated parameter 'usebackuproot'
[   49.689739][ T6368] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   49.690534][ T6368] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6368)
[   49.692074][ T6368] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   49.692640][ T6368] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   49.693186][ T6368] BTRFS info (device loop0): disk space caching is enabled
[   49.702474][ T6368] BTRFS info (device loop0): rebuilding free space tree
[   49.705360][ T6368] BTRFS info (device loop0): disabling free space tree
[   49.705769][ T6368] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   49.706280][ T6368] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   49.725270][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   49.858087][ T6389] loop0: detected capacity change from 0 to 32768
[   49.859228][ T6389] btrfs: Deprecated parameter 'usebackuproot'
[   49.859562][ T6389] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   49.860304][ T6389] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6389)
[   49.861864][ T6389] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   49.862419][ T6389] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   49.862947][ T6389] BTRFS info (device loop0): disk space caching is enabled
[   49.868624][ T6389] BTRFS info (device loop0): rebuilding free space tree
[   49.871790][ T6389] BTRFS info (device loop0): disabling free space tree
[   49.872199][ T6389] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   49.872723][ T6389] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   49.891746][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   49.996748][ T6412] loop0: detected capacity change from 0 to 32768
[   49.997706][ T6412] btrfs: Deprecated parameter 'usebackuproot'
[   49.998036][ T6412] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   49.999472][ T6412] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6412)
[   50.001037][ T6412] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   50.001616][ T6412] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   50.002151][ T6412] BTRFS info (device loop0): disk space caching is enabled
[   50.012645][ T6412] BTRFS info (device loop0): rebuilding free space tree
executing program
[   50.157668][ T6434] loop0: detected capacity change from 0 to 32768
[   50.158610][ T6434] btrfs: Deprecated parameter 'usebackuproot'
[   50.159010][ T6434] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   50.160747][ T6434] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6434)
executing program
[   50.290756][ T6456] loop0: detected capacity change from 0 to 32768
[   50.291658][ T6456] btrfs: Deprecated parameter 'usebackuproot'
[   50.292003][ T6456] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   50.298806][ T6456] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6456)
executing program
[   50.440602][ T6477] loop0: detected capacity change from 0 to 32768
[   50.449212][ T6477] btrfs: Deprecated parameter 'usebackuproot'
[   50.449559][ T6477] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   50.450834][ T6477] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6477)
executing program
[   50.597011][ T6500] loop0: detected capacity change from 0 to 32768
[   50.597919][ T6500] btrfs: Deprecated parameter 'usebackuproot'
[   50.598260][ T6500] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   50.599561][ T6500] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6500)
executing program
[   50.718005][ T6522] loop0: detected capacity change from 0 to 32768
[   50.719366][ T6522] btrfs: Deprecated parameter 'usebackuproot'
[   50.719716][ T6522] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   50.723277][ T6522] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6522)
executing program
[   50.857882][ T6543] loop0: detected capacity change from 0 to 32768
[   50.860897][ T6543] btrfs: Deprecated parameter 'usebackuproot'
[   50.861235][ T6543] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   50.861885][ T6543] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6543)
executing program
[   51.008719][ T6565] loop0: detected capacity change from 0 to 32768
[   51.009652][ T6565] btrfs: Deprecated parameter 'usebackuproot'
[   51.009992][ T6565] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   51.010798][ T6565] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6565)
executing program
[   51.139752][ T6588] loop0: detected capacity change from 0 to 32768
[   51.140662][ T6588] btrfs: Deprecated parameter 'usebackuproot'
[   51.141009][ T6588] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   51.141683][ T6588] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6588)
executing program
[   51.271232][ T6610] loop0: detected capacity change from 0 to 32768
[   51.272175][ T6610] btrfs: Deprecated parameter 'usebackuproot'
[   51.272523][ T6610] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   51.280530][ T6610] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6610)
executing program
[   51.415887][ T6633] loop0: detected capacity change from 0 to 32768
[   51.416766][ T6633] btrfs: Deprecated parameter 'usebackuproot'
[   51.417098][ T6633] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   51.417938][ T6633] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6633)
executing program
[   51.557993][ T6654] loop0: detected capacity change from 0 to 32768
[   51.559061][ T6654] btrfs: Deprecated parameter 'usebackuproot'
[   51.559402][ T6654] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   51.562132][ T6654] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6654)
executing program
[   51.696209][ T6676] loop0: detected capacity change from 0 to 32768
[   51.697132][ T6676] btrfs: Deprecated parameter 'usebackuproot'
[   51.697479][ T6676] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   51.699252][ T6676] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6676)
executing program
[   51.839013][ T6698] loop0: detected capacity change from 0 to 32768
[   51.839955][ T6698] btrfs: Deprecated parameter 'usebackuproot'
[   51.840311][ T6698] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   51.840995][ T6698] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6698)
executing program
[   51.981319][ T6721] loop0: detected capacity change from 0 to 32768
[   51.982217][ T6721] btrfs: Deprecated parameter 'usebackuproot'
[   51.982551][ T6721] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   51.983445][ T6721] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6721)
executing program
[   52.111865][ T6742] loop0: detected capacity change from 0 to 32768
[   52.112756][ T6742] btrfs: Deprecated parameter 'usebackuproot'
[   52.113100][ T6742] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   52.113778][ T6742] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6742)
executing program
[   52.245858][ T6765] loop0: detected capacity change from 0 to 32768
[   52.246755][ T6765] btrfs: Deprecated parameter 'usebackuproot'
[   52.247104][ T6765] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   52.248491][ T6765] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6765)
executing program
[   52.386870][ T6787] loop0: detected capacity change from 0 to 32768
[   52.389103][ T6787] btrfs: Deprecated parameter 'usebackuproot'
[   52.389460][ T6787] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   52.390147][ T6787] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6787)
executing program
[   52.520177][ T6808] loop0: detected capacity change from 0 to 32768
[   52.521052][ T6808] btrfs: Deprecated parameter 'usebackuproot'
[   52.521403][ T6808] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   52.522146][ T6808] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6808)
executing program
[   52.689229][ T6830] loop0: detected capacity change from 0 to 32768
[   52.690111][ T6830] btrfs: Deprecated parameter 'usebackuproot'
[   52.690471][ T6830] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   52.698087][ T6830] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6830)
executing program
[   52.849384][ T6851] loop0: detected capacity change from 0 to 32768
[   52.850270][ T6851] btrfs: Deprecated parameter 'usebackuproot'
[   52.850610][ T6851] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   52.858323][ T6851] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6851)
executing program
[   53.000820][ T6874] loop0: detected capacity change from 0 to 32768
[   53.001754][ T6874] btrfs: Deprecated parameter 'usebackuproot'
[   53.002151][ T6874] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   53.009189][ T6874] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6874)
executing program
[   53.149893][ T6896] loop0: detected capacity change from 0 to 32768
[   53.150741][ T6896] btrfs: Deprecated parameter 'usebackuproot'
[   53.151077][ T6896] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   53.151766][ T6896] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6896)
[   53.153329][ T6896] _btrfs_printk: 172 callbacks suppressed
[   53.153343][ T6896] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   53.154388][ T6896] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   53.155031][ T6896] BTRFS info (device loop0): disk space caching is enabled
[   53.160343][ T6896] BTRFS info (device loop0): rebuilding free space tree
[   53.164237][ T6896] BTRFS info (device loop0): disabling free space tree
[   53.164690][ T6896] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   53.165228][ T6896] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   53.182535][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   53.289872][ T6918] loop0: detected capacity change from 0 to 32768
[   53.290717][ T6918] btrfs: Deprecated parameter 'usebackuproot'
[   53.291057][ T6918] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   53.291746][ T6918] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6918)
[   53.293265][ T6918] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   53.293914][ T6918] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   53.294554][ T6918] BTRFS info (device loop0): disk space caching is enabled
[   53.300020][ T6918] BTRFS info (device loop0): rebuilding free space tree
[   53.304093][ T6918] BTRFS info (device loop0): disabling free space tree
[   53.304582][ T6918] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   53.305176][ T6918] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   53.326803][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   53.433967][ T6939] loop0: detected capacity change from 0 to 32768
[   53.435012][ T6939] btrfs: Deprecated parameter 'usebackuproot'
[   53.435412][ T6939] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   53.436168][ T6939] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6939)
[   53.437957][ T6939] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   53.438521][ T6939] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   53.439194][ T6939] BTRFS info (device loop0): disk space caching is enabled
[   53.447056][ T6939] BTRFS info (device loop0): rebuilding free space tree
[   53.449592][ T6939] BTRFS info (device loop0): disabling free space tree
[   53.449963][ T6939] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   53.450455][ T6939] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   53.469396][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   53.582235][ T6962] loop0: detected capacity change from 0 to 32768
