Warning: Permanently added '[localhost]:7284' (ED25519) to the list of known hosts.
2024/05/18 14:43:34 ignoring optional flag "sandboxArg"="0"
2024/05/18 14:43:34 parsed 1 programs
syzkaller login: [  585.403049][ T6171] cgroup: Unknown subsys name 'net'
[  586.602528][ T6207] team0: Port device team_slave_1 added
[  586.625643][ T6247] chnl_net:caif_netlink_parms(): no params data found
[  586.633245][ T6207] batman_adv: batadv0: Adding interface: batadv_slave_0
[  586.633622][ T6207] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  586.634830][ T6207] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  586.636339][ T6207] batman_adv: batadv0: Adding interface: batadv_slave_1
[  586.636703][ T6207] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  586.638139][ T6207] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  586.652116][ T6194] bridge0: port 1(bridge_slave_0) entered blocking state
[  586.652572][ T6194] bridge0: port 1(bridge_slave_0) entered disabled state
[  586.653011][ T6194] bridge_slave_0: entered allmulticast mode
[  586.653668][ T6194] bridge_slave_0: entered promiscuous mode
[  586.654964][ T6194] bridge0: port 2(bridge_slave_1) entered blocking state
[  586.655401][ T6194] bridge0: port 2(bridge_slave_1) entered disabled state
[  586.655865][ T6194] bridge_slave_1: entered allmulticast mode
[  586.656526][ T6194] bridge_slave_1: entered promiscuous mode
[  586.666620][ T6194] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  586.669216][ T6194] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  586.674276][ T6240] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  586.675957][ T6240] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  586.709829][ T6207] hsr_slave_0: entered promiscuous mode
[  586.768872][ T6207] hsr_slave_1: entered promiscuous mode
[  586.835796][ T6194] team0: Port device team_slave_0 added
[  586.856530][ T6240] team0: Port device team_slave_0 added
[  586.868419][ T6194] team0: Port device team_slave_1 added
[  586.872131][ T6252] bridge0: port 1(bridge_slave_0) entered blocking state
[  586.872530][ T6252] bridge0: port 1(bridge_slave_0) entered disabled state
[  586.872961][ T6252] bridge_slave_0: entered allmulticast mode
[  586.873605][ T6252] bridge_slave_0: entered promiscuous mode
[  586.874740][ T6240] team0: Port device team_slave_1 added
[  586.889322][ T6198] bridge0: port 1(bridge_slave_0) entered blocking state
[  586.889802][ T6198] bridge0: port 1(bridge_slave_0) entered disabled state
[  586.890249][ T6198] bridge_slave_0: entered allmulticast mode
[  586.890925][ T6198] bridge_slave_0: entered promiscuous mode
[  586.895461][ T6189] bridge0: port 1(bridge_slave_0) entered blocking state
[  586.895858][ T6189] bridge0: port 1(bridge_slave_0) entered disabled state
[  586.896320][ T6189] bridge_slave_0: entered allmulticast mode
[  586.896985][ T6189] bridge_slave_0: entered promiscuous mode
[  586.898204][ T6189] bridge0: port 2(bridge_slave_1) entered blocking state
[  586.898593][ T6189] bridge0: port 2(bridge_slave_1) entered disabled state
[  586.899107][ T6189] bridge_slave_1: entered allmulticast mode
[  586.899753][ T6189] bridge_slave_1: entered promiscuous mode
[  586.907257][ T6252] bridge0: port 2(bridge_slave_1) entered blocking state
[  586.907757][ T6252] bridge0: port 2(bridge_slave_1) entered disabled state
[  586.908249][ T6252] bridge_slave_1: entered allmulticast mode
[  586.909162][ T6252] bridge_slave_1: entered promiscuous mode
[  586.910568][ T6194] batman_adv: batadv0: Adding interface: batadv_slave_0
[  586.910946][ T6194] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  586.912213][ T6194] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  586.926533][ T6198] bridge0: port 2(bridge_slave_1) entered blocking state
[  586.927048][ T6198] bridge0: port 2(bridge_slave_1) entered disabled state
[  586.927531][ T6198] bridge_slave_1: entered allmulticast mode
[  586.928214][ T6198] bridge_slave_1: entered promiscuous mode
[  586.942584][ T6253] bridge0: port 1(bridge_slave_0) entered blocking state
[  586.943054][ T6253] bridge0: port 1(bridge_slave_0) entered disabled state
[  586.943545][ T6253] bridge_slave_0: entered allmulticast mode
[  586.944232][ T6253] bridge_slave_0: entered promiscuous mode
[  586.945183][ T6194] batman_adv: batadv0: Adding interface: batadv_slave_1
[  586.945617][ T6194] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  586.947141][ T6194] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  586.952007][ T6252] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  586.953568][ T6252] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  586.957495][ T6247] bridge0: port 1(bridge_slave_0) entered blocking state
[  586.958010][ T6247] bridge0: port 1(bridge_slave_0) entered disabled state
[  586.958564][ T6247] bridge_slave_0: entered allmulticast mode
[  586.959371][ T6247] bridge_slave_0: entered promiscuous mode
[  586.960273][ T6240] batman_adv: batadv0: Adding interface: batadv_slave_0
[  586.960668][ T6240] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  586.961961][ T6240] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  586.963477][ T6240] batman_adv: batadv0: Adding interface: batadv_slave_1
[  586.963853][ T6240] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  586.965166][ T6240] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  586.966020][ T6247] bridge0: port 2(bridge_slave_1) entered blocking state
[  586.966481][ T6247] bridge0: port 2(bridge_slave_1) entered disabled state
[  586.966972][ T6247] bridge_slave_1: entered allmulticast mode
[  586.967664][ T6247] bridge_slave_1: entered promiscuous mode
[  586.977882][ T6198] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  586.980580][ T6198] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  586.981827][ T6189] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  586.986564][ T6253] bridge0: port 2(bridge_slave_1) entered blocking state
[  586.987006][ T6253] bridge0: port 2(bridge_slave_1) entered disabled state
[  586.987476][ T6253] bridge_slave_1: entered allmulticast mode
[  586.988154][ T6253] bridge_slave_1: entered promiscuous mode
[  587.003686][ T6252] team0: Port device team_slave_0 added
[  587.015743][ T6189] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  587.026289][ T6198] team0: Port device team_slave_0 added
[  587.035676][ T6253] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  587.036667][ T6252] team0: Port device team_slave_1 added
[  587.037672][ T6253] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  587.055295][ T6198] team0: Port device team_slave_1 added
[  587.057425][ T6189] team0: Port device team_slave_0 added
[  587.100179][ T6194] hsr_slave_0: entered promiscuous mode
[  587.128946][ T6194] hsr_slave_1: entered promiscuous mode
[  587.178912][ T6194] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  587.180655][ T6194] Cannot create hsr debugfs directory
[  587.201109][ T6247] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  587.241351][ T6240] hsr_slave_0: entered promiscuous mode
[  587.289179][ T6240] hsr_slave_1: entered promiscuous mode
[  587.338901][ T6240] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  587.340006][ T6240] Cannot create hsr debugfs directory
[  587.368154][ T6189] team0: Port device team_slave_1 added
[  587.379524][ T6253] team0: Port device team_slave_0 added
[  587.388049][ T6252] batman_adv: batadv0: Adding interface: batadv_slave_0
[  587.388479][ T6252] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.390035][ T6252] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  587.391556][ T6247] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  587.392246][ T6252] batman_adv: batadv0: Adding interface: batadv_slave_1
[  587.392681][ T6252] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.394113][ T6252] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  587.410010][ T6198] batman_adv: batadv0: Adding interface: batadv_slave_0
[  587.410433][ T6198] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.411839][ T6198] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  587.414027][ T6198] batman_adv: batadv0: Adding interface: batadv_slave_1
[  587.414444][ T6198] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.415865][ T6198] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  587.422098][ T6253] team0: Port device team_slave_1 added
[  587.431453][ T6189] batman_adv: batadv0: Adding interface: batadv_slave_0
[  587.431873][ T6189] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.433318][ T6189] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  587.479747][ T6198] hsr_slave_0: entered promiscuous mode
[  587.518952][ T6198] hsr_slave_1: entered promiscuous mode
[  587.549382][ T6198] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  587.550558][ T6198] Cannot create hsr debugfs directory
[  587.561051][ T6253] batman_adv: batadv0: Adding interface: batadv_slave_0
[  587.562053][ T6253] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.565454][ T6253] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  587.587182][ T6247] team0: Port device team_slave_0 added
[  587.592495][ T6189] batman_adv: batadv0: Adding interface: batadv_slave_1
[  587.592939][ T6189] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.594354][ T6189] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  587.595375][ T6207] netdevsim netdevsim2 netdevsim0: renamed from eth0
[  587.610865][ T6253] batman_adv: batadv0: Adding interface: batadv_slave_1
[  587.611261][ T6253] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.612635][ T6253] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  587.616220][ T6247] team0: Port device team_slave_1 added
[  587.635210][ T6207] netdevsim netdevsim2 netdevsim1: renamed from eth1
[  587.636632][ T6207] netdevsim netdevsim2 netdevsim2: renamed from eth2
[  587.661567][ T6247] batman_adv: batadv0: Adding interface: batadv_slave_0
[  587.661958][ T6247] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.663270][ T6247] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  587.700089][ T6189] hsr_slave_0: entered promiscuous mode
[  587.738895][ T6189] hsr_slave_1: entered promiscuous mode
[  587.788958][ T6189] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  587.790066][ T6189] Cannot create hsr debugfs directory
[  587.800359][ T6207] netdevsim netdevsim2 netdevsim3: renamed from eth3
[  587.850305][ T6252] hsr_slave_0: entered promiscuous mode
[  587.878984][ T6252] hsr_slave_1: entered promiscuous mode
[  587.928735][ T6252] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  587.929281][ T6252] Cannot create hsr debugfs directory
[  587.941342][ T6247] batman_adv: batadv0: Adding interface: batadv_slave_1
[  587.942390][ T6247] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  587.945832][ T6247] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  588.020197][ T6253] hsr_slave_0: entered promiscuous mode
[  588.029592][   T48] Bluetooth: hci3: command tx timeout
[  588.068897][ T6253] hsr_slave_1: entered promiscuous mode
[  588.108720][ T6253] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  588.109233][ T6253] Cannot create hsr debugfs directory
[  588.121235][   T48] Bluetooth: hci1: command tx timeout
[  588.188814][   T48] Bluetooth: hci6: command tx timeout
[  588.189332][   T48] Bluetooth: hci0: command tx timeout
[  588.189794][   T48] Bluetooth: hci5: command tx timeout
[  588.190260][   T48] Bluetooth: hci7: command tx timeout
[  588.190763][   T48] Bluetooth: hci2: command tx timeout
[  588.191214][   T48] Bluetooth: hci4: command tx timeout
[  588.196954][ T6240] netdevsim netdevsim0 netdevsim0: renamed from eth0
[  588.239961][ T6247] hsr_slave_0: entered promiscuous mode
[  588.289067][ T6247] hsr_slave_1: entered promiscuous mode
[  588.328716][ T6247] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  588.329285][ T6247] Cannot create hsr debugfs directory
[  588.344114][ T6240] netdevsim netdevsim0 netdevsim1: renamed from eth1
[  588.347902][ T6240] netdevsim netdevsim0 netdevsim2: renamed from eth2
[  588.385691][ T6240] netdevsim netdevsim0 netdevsim3: renamed from eth3
[  588.403115][ T6194] netdevsim netdevsim1 netdevsim0: renamed from eth0
[  588.419170][ T6194] netdevsim netdevsim1 netdevsim1: renamed from eth1
[  588.426466][ T6194] netdevsim netdevsim1 netdevsim2: renamed from eth2
[  588.451261][ T6194] netdevsim netdevsim1 netdevsim3: renamed from eth3
[  588.480563][ T6198] netdevsim netdevsim4 netdevsim0: renamed from eth0
[  588.484136][ T6198] netdevsim netdevsim4 netdevsim1: renamed from eth1
[  588.489433][ T6198] netdevsim netdevsim4 netdevsim2: renamed from eth2
[  588.490682][ T6198] netdevsim netdevsim4 netdevsim3: renamed from eth3
[  588.523837][ T6207] 8021q: adding VLAN 0 to HW filter on device bond0
[  588.534783][ T6189] netdevsim netdevsim3 netdevsim0: renamed from eth0
[  588.537124][ T6189] netdevsim netdevsim3 netdevsim1: renamed from eth1
[  588.538364][ T6189] netdevsim netdevsim3 netdevsim2: renamed from eth2
[  588.552836][ T6189] netdevsim netdevsim3 netdevsim3: renamed from eth3
[  588.560043][ T6240] 8021q: adding VLAN 0 to HW filter on device bond0
[  588.561805][ T6207] 8021q: adding VLAN 0 to HW filter on device team0
[  588.571690][ T4640] bridge0: port 1(bridge_slave_0) entered blocking state
[  588.572282][ T4640] bridge0: port 1(bridge_slave_0) entered forwarding state
[  588.573739][ T4640] bridge0: port 2(bridge_slave_1) entered blocking state
[  588.574151][ T4640] bridge0: port 2(bridge_slave_1) entered forwarding state
[  588.592229][ T6240] 8021q: adding VLAN 0 to HW filter on device team0
[  588.592883][ T6253] netdevsim netdevsim7 netdevsim0: renamed from eth0
[  588.604085][ T6253] netdevsim netdevsim7 netdevsim1: renamed from eth1
[  588.606479][ T6253] netdevsim netdevsim7 netdevsim2: renamed from eth2
[  588.616023][ T6198] 8021q: adding VLAN 0 to HW filter on device bond0
[  588.618010][ T8793] bridge0: port 1(bridge_slave_0) entered blocking state
[  588.618455][ T8793] bridge0: port 1(bridge_slave_0) entered forwarding state
[  588.622978][ T6253] netdevsim netdevsim7 netdevsim3: renamed from eth3
[  588.639921][  T771] bridge0: port 2(bridge_slave_1) entered blocking state
[  588.640378][  T771] bridge0: port 2(bridge_slave_1) entered forwarding state
[  588.663367][ T6189] 8021q: adding VLAN 0 to HW filter on device bond0
[  588.667312][ T6189] 8021q: adding VLAN 0 to HW filter on device team0
[  588.674387][ T6198] 8021q: adding VLAN 0 to HW filter on device team0
[  588.692238][ T6252] netdevsim netdevsim6 netdevsim0: renamed from eth0
[  588.693677][ T6252] netdevsim netdevsim6 netdevsim1: renamed from eth1
[  588.695895][ T8692] bridge0: port 1(bridge_slave_0) entered blocking state
[  588.696330][ T8692] bridge0: port 1(bridge_slave_0) entered forwarding state
[  588.706958][ T8793] bridge0: port 2(bridge_slave_1) entered blocking state
[  588.707434][ T8793] bridge0: port 2(bridge_slave_1) entered forwarding state
[  588.709851][ T6252] netdevsim netdevsim6 netdevsim2: renamed from eth2
[  588.716332][ T6252] netdevsim netdevsim6 netdevsim3: renamed from eth3
[  588.719336][ T8793] bridge0: port 1(bridge_slave_0) entered blocking state
[  588.719781][ T8793] bridge0: port 1(bridge_slave_0) entered forwarding state
[  588.729655][ T8793] bridge0: port 2(bridge_slave_1) entered blocking state
[  588.730067][ T8793] bridge0: port 2(bridge_slave_1) entered forwarding state
[  588.738107][ T6194] 8021q: adding VLAN 0 to HW filter on device bond0
[  588.759619][ T6194] 8021q: adding VLAN 0 to HW filter on device team0
[  588.765125][ T8793] bridge0: port 1(bridge_slave_0) entered blocking state
[  588.765543][ T8793] bridge0: port 1(bridge_slave_0) entered forwarding state
[  588.766761][ T8793] bridge0: port 2(bridge_slave_1) entered blocking state
[  588.767167][ T8793] bridge0: port 2(bridge_slave_1) entered forwarding state
[  588.772715][ T6247] netdevsim netdevsim5 netdevsim0: renamed from eth0
[  588.774246][ T6247] netdevsim netdevsim5 netdevsim1: renamed from eth1
[  588.787707][ T6194] hsr0: Slave B (hsr_slave_1) is not up; please bring it up to get a fully working HSR network
[  588.802491][ T6247] netdevsim netdevsim5 netdevsim2: renamed from eth2
[  588.804361][ T6247] netdevsim netdevsim5 netdevsim3: renamed from eth3
[  588.817421][ T6207] 8021q: adding VLAN 0 to HW filter on device batadv0
[  588.824918][ T6253] 8021q: adding VLAN 0 to HW filter on device bond0
[  588.887850][ T6253] 8021q: adding VLAN 0 to HW filter on device team0
[  588.906790][ T6240] 8021q: adding VLAN 0 to HW filter on device batadv0
[  588.911755][ T6198] 8021q: adding VLAN 0 to HW filter on device batadv0
[  588.930214][ T8793] bridge0: port 1(bridge_slave_0) entered blocking state
[  588.930639][ T8793] bridge0: port 1(bridge_slave_0) entered forwarding state
[  588.933210][ T6247] 8021q: adding VLAN 0 to HW filter on device bond0
[  588.943545][ T8793] bridge0: port 2(bridge_slave_1) entered blocking state
[  588.943986][ T8793] bridge0: port 2(bridge_slave_1) entered forwarding state
[  588.946168][ T6194] 8021q: adding VLAN 0 to HW filter on device batadv0
[  588.947755][ T6207] veth0_vlan: entered promiscuous mode
[  588.958895][ T6247] 8021q: adding VLAN 0 to HW filter on device team0
[  588.962794][ T6207] veth1_vlan: entered promiscuous mode
[  588.967875][ T6240] veth0_vlan: entered promiscuous mode
[  588.971304][ T8692] bridge0: port 1(bridge_slave_0) entered blocking state
[  588.971752][ T8692] bridge0: port 1(bridge_slave_0) entered forwarding state
[  588.979451][ T8692] bridge0: port 2(bridge_slave_1) entered blocking state
[  588.979908][ T8692] bridge0: port 2(bridge_slave_1) entered forwarding state
[  588.993157][ T6189] 8021q: adding VLAN 0 to HW filter on device batadv0
[  589.007968][ T6240] veth1_vlan: entered promiscuous mode
[  589.040584][ T6194] veth0_vlan: entered promiscuous mode
[  589.043559][ T6194] veth1_vlan: entered promiscuous mode
[  589.047686][ T6252] 8021q: adding VLAN 0 to HW filter on device bond0
[  589.059332][ T6240] veth0_macvtap: entered promiscuous mode
[  589.067831][ T6240] veth1_macvtap: entered promiscuous mode
[  589.072881][ T6189] veth0_vlan: entered promiscuous mode
[  589.073677][ T6207] veth0_macvtap: entered promiscuous mode
[  589.075457][ T6207] veth1_macvtap: entered promiscuous mode
[  589.098150][ T6198] veth0_vlan: entered promiscuous mode
[  589.100400][ T6207] batman_adv: batadv0: Interface activated: batadv_slave_0
[  589.102519][ T6194] veth0_macvtap: entered promiscuous mode
[  589.105477][ T6207] batman_adv: batadv0: Interface activated: batadv_slave_1
[  589.110982][ T6252] 8021q: adding VLAN 0 to HW filter on device team0
[  589.113917][ T6240] batman_adv: The newly added mac address (aa:aa:aa:aa:aa:3e) already exists on: batadv_slave_0
